Ticker,Price,Beta
AAPL,134.32,1.025657
MSFT,261.15,0.892954
AMZN,3340.88,0.715514
FB,301.13,0.980711
GOOGL,2299.93,0.916476
GOOG,2315.3,0.915315
TSLA,729.4,1.628991
BRK/B,271.98,0.877531
JPM,150.19,1.136347
JNJ,165.52,0.727779
V,230,1.033992
UNH,400.31,1.162228
NVDA,610.61,1.144863
HD,323.89,1.171461
MA,387.06,1.181582
DIS,183.02,1.047488
PG,133.94,0.726629
PYPL,266.03,1.084375
BAC,39.18,1.224621
INTC,59.24,0.971815
CMCSA,54.39,0.883076
ADBE,515.84,0.870592
VZ,57.3,0.618658
XOM,55.57,1.092598
NFLX,505.55,0.760048
T,31.4,0.879033
CSCO,51.91,0.848565
ABT,123.31,0.850202
PFE,38.66,0.743159
CRM,233.51,0.988632
KO,54.47,0.999314
PEP,145.83,0.880069
MRK,77.88,0.656035
CVX,101.55,1.179575
ABBV,111.38,0.858376
WMT,139.9,0.551537
TMO,488.09,0.807546
AVGO,466.13,1.109599
ACN,291.74,0.963322
WFC,43.86,1.239997
MDT,131.2,1.063843
MCD,234.58,0.91091
TXN,188.82,0.909951
COST,373.28,0.697769
NKE,130.19,1.089867
DHR,259.78,0.835755
HON,224.5,1.194334
QCOM,135.43,1.066171
NEE,78.24,0.978437
LIN,291.6,1.106888
BMY,66.01,0.808693
LLY,188.72,0.722439
AMGN,257.03,0.727744
LOW,200.93,1.343376
UNP,223.54,1.052682
C,71.38,1.442609
PM,94.61,0.925446
ORCL,74.97,0.726718
SBUX,117.56,1.081525
BA,238.38,2.105236
UPS,178.96,0.858595
IBM,142.43,0.993519
CAT,230.11,0.929841
AMAT,134.86,1.37249
RTX,80.54,1.398582
MS,80.95,1.292088
GE,13.55,1.161101
MMM,202.2,0.856476
GS,339.35,1.276969
DE,376.27,1.164089
BLK,813.17,1.161167
AMT,254.04,0.90761
INTU,414.92,1.12212
NOW,552.7,0.889167
TGT,206.01,0.713503
ISRG,875.53,1.198936
CVS,76.05,0.961507
SCHW,67.14,0.957879
BKNG,2395.43,1.215043
AMD,82.76,1.181937
AXP,144.33,1.422545
SQ,246.43,1.775879
MU,86.03,1.184741
FIS,153.01,1.03617
LMT,377.29,0.947993
CHTR,657.54,0.911457
SPGI,388.14,0.988723
ANTM,381.95,1.245464
CI,251.8,1.168555
LRCX,627.49,1.486449
SYK,267,1.1907
MO,47.39,0.885831
PLD,114.87,1.185021
MDLZ,59.51,0.822952
ADP,195.86,1.041689
TJX,70.39,1.308944
UBER,57.93,1.473081
GILD,65.48,0.495171
ZTS,170.54,0.937632
CCI,187.18,0.869864
CSX,103.11,1.02372
DUK,99.85,0.975876
USB,57.23,1.136194
TMUS,133.32,0.865676
TFC,57.62,1.290797
